time,node_id,rssi
46.577,5,-72.0
46.577,22,-89.0
46.577,17,-81.0
46.697,2,
46.828,22,-89.0
46.828,17,-81.0
46.828,5,-72.0
47.078,23,-82.0
47.078,5,-67.0
47.078,4,-79.0
47.078,24,-89.0
47.078,25,-81.0
47.328,5,-67.0
47.328,24,-89.0
47.328,4,-79.0
47.328,25,-81.0
47.328,23,-82.0
47.589,23,-83.0
47.589,4,-77.0
47.589,24,-89.0
47.589,8,-91.0
47.589,17,-80.0
47.839,24,-89.0
47.839,4,-77.0
47.839,17,-80.0
47.839,23,-83.0
47.839,8,-91.0
48.089,23,-83.0
48.089,4,-77.0
48.089,8,-91.0
48.089,17,-80.0
48.089,24,-89.0
48.34,5,-81.0
48.59,5,-81.0
48.8,2,
48.84,17,-77.0
49.091,17,-77.0
49.842,17,-83.0
49.842,5,-88.0
50.102,17,-83.0
50.102,5,-88.0
50.353,26,-88.0
50.603,26,-88.0
50.663,2,
50.853,18,-86.0
51.104,18,-86.0
51.354,18,-86.0
51.604,18,-86.0
51.604,26,-88.0
51.855,18,-86.0
51.855,26,-88.0
52.105,18,-86.0
52.105,26,-84.0
52.105,27,-97.0
52.355,18,-86.0
52.355,26,-84.0
52.355,27,-97.0
52.606,28,-91.0
52.606,18,-88.0
52.606,26,-91.0
52.656,2,
52.856,28,-91.0
52.856,18,-88.0
52.856,26,-91.0
53.107,28,-90.0
53.107,26,-85.0
53.357,28,-90.0
53.357,26,-85.0
53.607,28,-90.0
53.607,26,-85.0
53.858,26,-91.0
53.858,28,-85.0
53.858,29,-90.0
54.108,28,-85.0
54.108,29,-90.0
54.108,26,-91.0
54.358,28,-85.0
54.358,29,-90.0
54.358,26,-91.0
54.609,26,-85.0
54.609,30,-94.0
54.659,2,
54.859,30,-94.0
54.859,26,-85.0
55.109,26,-92.0
55.109,28,-90.0
55.36,26,-92.0
55.36,28,-90.0
55.61,26,-91.0
55.61,31,-89.0
55.61,32,-95.0
55.861,26,-91.0
55.861,31,-89.0
55.861,32,-95.0
56.111,3,-92.0
56.111,29,-90.0
56.361,3,-92.0
56.361,29,-90.0
56.612,31,-89.0
56.612,33,-80.0
56.612,32,-93.0
56.662,2,
56.872,31,-89.0
56.872,33,-80.0
56.872,32,-93.0
57.122,32,-93.0
57.122,33,-80.0
57.122,31,-89.0
57.373,3,-84.0
57.623,3,-84.0
57.873,3,-84.0
58.124,31,-87.0
58.124,32,-92.0
58.374,31,-87.0
58.374,32,-92.0
58.625,31,-87.0
58.625,32,-92.0
58.665,2,
58.875,32,-93.0
58.875,33,-78.0
58.875,31,-91.0
59.125,32,-93.0
59.125,31,-91.0
59.125,33,-78.0
59.376,33,-76.0
59.376,34,-94.0
59.626,34,-94.0
59.626,33,-76.0
59.876,34,-94.0
59.876,33,-76.0
60.127,35,-94.0
60.127,36,-87.0
60.377,35,-94.0
60.377,36,-87.0
60.627,35,-94.0
60.627,36,-87.0
60.708,2,
60.878,36,-88.0
60.878,31,-87.0
61.128,36,-88.0
61.128,31,-87.0
61.378,36,-88.0
61.378,31,-87.0
61.629,29,-92.0
61.629,32,-91.0
61.629,36,-80.0
61.629,31,-89.0
61.879,31,-89.0
61.879,29,-92.0
61.879,36,-80.0
61.879,32,-91.0
62.13,36,-84.0
62.38,36,-84.0
62.63,29,-90.0
62.63,36,-86.0
62.801,2,
62.881,29,-90.0
62.881,36,-86.0
63.131,36,-86.0
63.381,36,-86.0
64.132,29,-91.0
64.132,28,-86.0
64.383,29,-91.0
64.383,28,-86.0
64.633,29,-91.0
64.633,28,-84.0
64.803,2,
64.884,29,-91.0
64.884,28,-84.0
65.885,29,-92.0
65.885,32,-93.0
65.885,28,-88.0
66.135,29,-92.0
66.135,32,-93.0
66.135,28,-88.0
66.386,37,-94.0
66.386,22,-85.0
66.386,28,-88.0
66.636,22,-85.0
66.636,28,-88.0
66.636,37,-94.0
66.876,2,
66.886,22,-85.0
66.886,28,-88.0
66.886,37,-94.0
67.137,28,-86.0
67.387,28,-86.0
67.637,28,-86.0
67.888,29,-84.0
67.888,28,-89.0
68.138,29,-84.0
68.138,28,-89.0
68.389,38,-92.0
68.389,28,-85.0
68.639,38,-92.0
68.639,28,-85.0
68.669,2,
68.889,38,-92.0
69.14,38,-92.0
69.39,38,-92.0
69.64,38,-93.0
69.891,38,-93.0
70.141,38,-93.0
70.391,39,-89.0
70.391,40,-92.0
70.391,28,-86.0
70.642,40,-92.0
70.642,28,-86.0
70.642,39,-89.0
70.672,2,
70.892,40,-90.0
71.143,40,-90.0
71.393,41,-88.0
71.393,40,-93.0
71.393,28,-82.0
71.643,28,-82.0
71.643,40,-93.0
71.643,41,-88.0
71.894,40,-93.0
71.894,41,-88.0
71.894,28,-82.0
72.144,28,-87.0
72.144,40,-86.0
72.394,28,-87.0
72.394,40,-86.0
72.645,28,-86.0
72.705,2,
72.895,28,-86.0
73.145,28,-91.0
73.145,40,-93.0
73.396,28,-91.0
73.396,40,-93.0
73.646,28,-81.0
73.646,40,-90.0
73.896,40,-90.0
